Date,County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
2024,02020,"Anchorage Borough, AK",3.4,2.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,02090,"Fairbanks North Star Borough, AK",5.8,1.9,.,.,.,.,.,.,.,.,.,.,.,.
2024,04013,"Maricopa County, AZ",2.9,1.9,.,.,.,.,.,.,.,.,.,.,.,.
2024,04019,"Pima County, AZ",1.2,0.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,04025,"Yavapai County, AZ",.,.,.,.,0.08,.,.,.,.,.,.,.,.,.
2024,05035,"Crittenden County, AR",.,.,.,.,0.09,0.072,.,.,.,.,.,.,.,.
2024,05101,"Newton County, AR",.,.,.,.,0.07,0.058,.,.,.,.,.,.,.,.
2024,05113,"Polk County, AR",.,.,.,.,0.07,0.058,.,.,.,.,.,.,.,.
2024,05119,"Pulaski County, AR",0.7,0.6,.,.,0.08,0.062,.,.,.,.,.,.,.,.
2024,05143,"Washington County, AR",.,.,.,.,0.09,0.061,.,.,.,.,.,.,.,.
2024,06001,"Alameda County, CA",1.9,1.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,06007,"Butte County, CA",1.1,0.8,.,.,.,.,.,.,.,.,.,.,.,.
2024,06013,"Contra Costa County, CA",1.2,0.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,06019,"Fresno County, CA",1.7,1.5,.,.,.,.,.,.,.,.,.,.,.,.
2024,06027,"Inyo County, CA",0.2,0.2,.,.,.,.,.,.,.,.,.,.,.,.
2024,06029,"Kern County, CA",1.2,0.8,.,.,.,.,.,.,.,.,.,.,.,.
2024,06037,"Los Angeles County, CA",2.9,1.9,.,.,.,.,.,.,.,.,.,.,.,.
2024,06041,"Marin County, CA",0.9,0.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,06053,"Monterey County, CA",0.9,0.6,.,.,.,.,.,.,.,.,.,.,.,.
2024,06059,"Orange County, CA",1.6,1.1,.,.,.,.,.,.,.,.,.,.,.,.
2024,06065,"Riverside County, CA",2.8,1,.,.,.,.,.,.,.,.,.,.,.,.
2024,06067,"Sacramento County, CA",0.9,0.8,.,.,.,.,.,.,.,.,.,.,.,.
2024,06071,"San Bernardino County, CA",1.5,0.8,.,.,.,.,.,.,.,.,.,.,.,.
2024,06075,"San Francisco County, CA",1.1,0.9,.,.,.,.,.,.,.,.,.,.,.,.
2024,06077,"San Joaquin County, CA",1,0.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,06081,"San Mateo County, CA",1.9,0.8,.,.,.,.,.,.,.,.,.,.,.,.
2024,06083,"Santa Barbara County, CA",1.1,0.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,06085,"Santa Clara County, CA",1.4,1.3,.,.,.,.,.,.,.,.,.,.,.,.
2024,06095,"Solano County, CA",4.9,4.9,.,.,0.07,0.058,.,.,.,.,.,.,.,.
2024,06097,"Sonoma County, CA",1,0.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,06099,"Stanislaus County, CA",1.1,0.8,.,.,.,.,.,.,.,.,.,.,.,.
2024,08031,"Denver County, CO",2.3,1.6,.,.,.,.,.,.,.,.,.,.,.,.
2024,08041,"El Paso County, CO",1,0.6,.,.,.,.,.,.,.,.,.,.,.,.
2024,08067,"La Plata County, CO",.,.,.,.,0.08,0.067,.,.,.,.,.,.,.,.
2024,08069,"Larimer County, CO",1.6,1,.,.,.,.,.,.,.,.,.,.,.,.
2024,08123,"Weld County, CO",1.2,0.8,.,.,.,.,.,.,.,.,.,.,.,.
2024,09003,"Hartford County, CT",1.2,0.8,.,.,.,.,.,.,.,.,.,.,.,.
2024,09005,"Litchfield County, CT",2.1,0.5,.,.,.,.,.,.,.,.,.,.,.,.
2024,09009,"New Haven County, CT",1.2,0.8,.,.,.,.,.,.,.,.,.,.,.,.
2024,11001,District of Columbia,1.7,1.3,.,.,.,.,.,.,.,.,.,.,.,.
2024,12011,"Broward County, FL",2,1.3,.,.,.,.,.,.,.,.,.,.,.,.
2024,12031,"Duval County, FL",1.5,1.1,.,.,.,.,.,.,.,.,.,.,.,.
2024,12057,"Hillsborough County, FL",1.9,0.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,12086,"Miami-Dade County, FL",1.2,0.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,12095,"Orange County, FL",1.2,0.7,.,.,.,.,.,.,.,.,.,.,.,.
2024,12103,"Pinellas County, FL",1.2,0.6,.,.,.,.,.,.,.,.,.,.,.,.
2024,13051,"Chatham County, GA",.,.,.,.,0.07,0.058,.,.,.,.,.,.,.,.
2024,13067,"Cobb County, GA",.,.,.,.,.,0.062,.,.,.,.,.,.,.,.
2024,13085,"Dawson County, GA",.,.,.,.,0.07,0.062,.,.,.,.,.,.,.,.
2024,13089,"DeKalb County, GA",1.3,1.1,.,.,.,.,.,.,.,.,.,.,.,.
2024,13097,"Douglas County, GA",.,.,.,.,0.09,0.069,.,.,.,.,.,.,.,.
2024,13121,"Fulton County, GA",1.9,1.4,.,.,.,0.072,.,.,.,.,.,.,.,.
2024,13135,"Gwinnett County, GA",.,.,.,.,0.08,0.066,.,.,.,.,.,.,.,.
2024,13215,"Muscogee County, GA",.,.,.,.,0.07,0.06,.,.,.,.,.,.,.,.
2024,13245,"Richmond County, GA",.,.,.,.,0.07,0.058,.,.,.,.,.,.,.,.
2024,13247,"Rockdale County, GA",.,.,.,.,0.08,0.068,.,.,.,.,.,.,.,.
2024,13261,"Sumter County, GA",.,.,.,.,0.07,0.059,.,.,.,.,.,.,.,.
2024,15003,"Honolulu County, HI",0.6,0.4,.,.,.,.,.,.,.,.,.,.,.,.
2024,16001,"Ada County, ID",0.8,0.6,.,.,.,.,.,.,.,.,.,.,.,.
2024,16023,"Butte County, ID",.,.,.,.,0.07,0.065,.,.,.,.,.,.,.,.
2024,17001,"Adams County, IL",.,.,.,.,0.07,0.06,.,.,.,.,.,.,.,.
2024,17019,"Champaign County, IL",0.4,0.3,.,.,0.07,0.062,.,.,.,.,.,.,.,.
2024,17023,"Clark County, IL",.,.,.,.,0.07,0.063,.,.,.,.,.,.,.,.
2024,17031,"Cook County, IL",2.2,1.1,.,16,0.1,0.076,.,.,.,.,.,.,.,.
2024,17043,"DuPage County, IL",.,.,.,.,0.08,0.062,.,.,.,.,.,.,.,.
